3.6.,Evropský den jízdních kol
4.6.,"Mezinárodní den dětí, které se staly obětí agrese"
5.6.,Světový den životního prostředí
6.6.,Světový den škůdců
7.6.,Světový den bezpečnosti potravin
8.6.,Světový den oceánů
9.6.,Mezinárodní den archivů
10.6.,Den založení Anonymních alkoholiků
11.6.,Mezinárodní den žonglování (2. sobota v červnu)
12.6.,Světový den proti dětské práci
13.6.,Mezinárodní den povědomí o albinismu
14.6.,Světový den dárců krve
15.6.,Světový den proti násilí na seniorech
16.6.,Den afrického dítěte
17.6.,Mezinárodní den proti rozšiřování pouští a sucha
18.6.,Autistický den hrdosti
19.6.,Den otců (3. neděle v červnu)
20.6.,Světový den uprchlíků
21.6.,Světový den hudby
21.6.,Mezinárodní den trpaslíků
22.6.,Mezinárodní den bez kalhotek
23.6.,Mezinárodní den vdov
24.6.,Slavnost Narození sv. Jana Křtitele
25.6.,Den námořníků
26.6.,Mezinárodní den boje proti zneužívání drog a nezákonnému obchodování s nimi
26.6.,Mezinárodní den podpory obětem násilí
27.6.,Světový den rybářství
28.6.,Mezinárodní CAPS LOCK den 
29.6.,Mezinárodní den tropů
30.6.,Mezinárodní den asteroidů
1.7.,Mezinárodní den vtipů
2.7.,Světový den UFO
3.7.,Mezinárodní den bez plastových sáčků
4.7.,Den nezávislosti na mase
5.7.,Mezinárodní den objetí zdarma
6.7.,Světový den polibku
7.7.,Globální den odpuštění
8.7.,Národní den videoher
9.7.,Mezinárodní den Skinny Dippingu (druhá sobota v červenci)
10.7.,Evropský den koupáni v řekách (2. neděle v červenci)
11.7.,Světový den populace
12.7.,Národní den jednoduchosti
13.7.,Embrace Your Geekness Day
14.7.,Mezinárodní den alternativ ke spalovnám
15.7.,Světový den dovedností mládeže
16.7.,Den ocenění umělé inteligence
17.7.,Světový den emotikonů :D
18.7.,Mezinárodní den Nelsona Mandely
19.7.,Den městského včelařství
20.7.,Světový den šachu
21.7.,Den pozvání mimozemšťanů k soužití
22.7.,Světový den mozku
23.7.,Národní den kovbojů
24.7.,Mezinárodní den sebepéče
25.7.,Světový den prevence utonutí
26.7.,Den všechno nebo nic 
27.7.,Den skotské
28.7.,Světový den hepatitidy
29.7.,Den ocenění správce systému
30.7.,Mezinárodní den přátelství
31.7.,"Národní den orgasmů (UK, Australia, USA, Canada, the Netherlands)"
1.8.,Světový den rakoviny plic
2.8.,Den suchého zipu
3.8.,Den melounu
4.8.,Mezinárodní den leoparda obláčkového
5.8.,Mezinárodní den piva (první pátek v srpnu)
6.8.,Mezinárodní den boje lékařů za mír
7.8.,Den mořského hada
8.8.,Mezinárodní den ženského orgasmu
9.8.,Mezinárodní den původního obyvatelstva
10.8.,Světový den kaligrafie (druhá středa v srpnu)
11.8.,Den hip hopu
12.8.,Mezinárodní den mládeže
13.8.,Den leváků
14.8.,Světový den ještěrek
15.8.,Den energy drinků
16.8.,Mezinárodní den rumu
17.8.,Den neziskovek
18.8.,Den zmrzlinového dortu
19.8.,Světový den humanitárních pracovníků
20.8.,Světový den komárů
21.8.,Den památky obětí invaze a následné okupace vojsky Varšavské smlouvy
22.8.,Mezinárodní den připomínající oběti násilných činů na základě náboženské víry
23.8.,Mezinárodní den památky obětí obchodu s otroky
24.8.,Mezinárodní den podivné muziky
25.8.,Den burgerů
26.8.,Den psů
27.8.,Mezinárodní den loterie
28.8.,Evropská noc pro netopýry
29.8.,Mezinárodní den proti jaderným zkouškám
30.8.,Mezinárodní den obětí násilného zmizení
31.8.,Mezinárodní den povědomí o předávkování
1.9.,Světový den psaní dopisů
2.9.,Světový den kokosu
3.9.,Světový den vousů (první sobota v září)
4.9.,Světový den sexuálního zdraví
5.9.,Mezinárodní den charity
6.9.,Den boje proti prokrastinaci
7.9.,Den otevřených dvěří památek v ČR
8.9.,Mezinárodní den gramotnosti
9.9.,Evropský den recyklace baterií
10.9.,Světový den prevence sebevražd
11.9.,Den asistovaného bydlení
12.9.,Den programátorů
13.9.,Mezinárodní den čokolády
14.9.,Evropský den židovské kultury
15.9.,Mezinárodní den demokracie
16.9.,Mezinárodní den ochrany ozónové vrstvy
17.9.,Mezinárodní den country hudby
18.9.,Světový den monitorování vod
19.9.,Den pirátů
20.9.,Mezinárodní den štěstí v práci
21.9.,Mezinárodní den Alzheimerovy choroby
22.9.,Mezinárodní den antikoncepce
23.9.,Mezinárodní den neslyšících
24.9.,Světový den Bollywoodu
25.9.,Světový den snů
26.9.,Mezinárodní den kulturního dialogu
27.9.,Světový den turistiky
28.9.,Světový den boje proti vzteklině
29.9.,Světový den srdce
30.9.,Mezinárodní den překladatelů
