Středa,4.5.,Květoslav,Dorůstá
Čtvrtek,5.5.,Klaudie ,Dorůstá
Čtvrtek,5.5.,Květnové povstání českého lidu (1945),Dorůstá
Pátek,6.5.,Radoslav,Dorůstá
Sobota,7.5.,Stanislav,Dorůstá
Neděle,8.5.,Den osvobození od fašismu (1945),Dorůstá
Pondělí,9.5.,Ctibor,Dorůstá
Úterý,10.5.,Blažena,Dorůstá
Středa,11.5.,Svatava,Dorůstá
Čtvrtek,12.5.,Pankrác,Dorůstá
Pátek,13.5.,Servác,Dorůstá
Sobota,14.5.,Bonifác,Dorůstá
Neděle,15.5.,Žofie,Dorůstá
Pondělí,16.5.,Přemysl,Úplněk
Úterý,17.5.,Aneta,Ubývá
Středa,18.5.,Nataša,Ubývá
Čtvrtek,19.5.,Ivo,Ubývá
Pátek,20.5.,Zbyšek,Ubývá
Sobota,21.5.,Monika,Ubývá
Neděle,22.5.,Emil,Ubývá
Pondělí,23.5.,Vladimír,Ubývá
Úterý,24.5.,Jana,Ubývá
Středa,25.5.,Viola,Ubývá
Čtvrtek,26.5.,Filip,Ubývá
Pátek,27.5.,Valdemar,Ubývá
Sobota,28.5.,Vilém,Ubývá
Neděle,29.5.,Maxmilián,Ubývá
Pondělí,30.5.,Ferdinand,NOV
Úterý,31.5.,Kamila,Dorůstá
Středa,1.6.,Laura,Dorůstá
Čtvrtek,2.6.,Jarmil,Dorůstá
Pátek,3.6.,Tamara,Dorůstá
Sobota,4.6.,Dalibor,Dorůstá
Neděle,5.6.,Dobroslav,Dorůstá
Pondělí,6.6.,Norbert,Dorůstá
Úterý,7.6.,Iveta a Slavoj,Dorůstá
Středa,8.6.,Medard,Dorůstá
Čtvrtek,9.6.,Stanislava,Dorůstá
Pátek,10.6.,Gita,Dorůstá
Sobota,11.6.,Bruno,Dorůstá
Neděle,12.6.,Antonie,Dorůstá
Pondělí,13.6.,Antonín,Dorůstá
Úterý,14.6.,Roland,Úplněk
Středa,15.6.,Vít,Ubývá
Čtvrtek,16.6.,Zbyněk,Ubývá
Pátek,17.6.,Adolf,Ubývá
Sobota,18.6.,Milan,Ubývá
Neděle,19.6.,Leoš,Ubývá
Pondělí,20.6.,Květa,Ubývá
Úterý,21.6.,Alois,Ubývá
Středa,22.6.,Pavla,Ubývá
Čtvrtek,23.6.,Zdeňka,Ubývá
Pátek,24.6.,Jan,Ubývá
Sobota,25.6.,Ivan,Ubývá
Neděle,26.6.,Adriana,Ubývá
Pondělí,27.6.,Ladislav,Ubývá
Úterý,28.6.,Lubomír,Ubývá
Středa,29.6.,Petr a Pavel,NOV
Čtvrtek,30.6.,Šárka,Dorůstá
Pátek,1.7.,Jaroslava,Dorůstá
Sobota,2.7.,Patricie,Dorůstá
Neděle,3.7.,Radomír,Dorůstá
Pondělí,4.7.,Prokop,Dorůstá
Úterý,5.7.,Den slovanských věrozvěstů Cyrila a Metoděje,Dorůstá
Středa,6.7.,Upálení mistra Jana Husa (1415),Dorůstá
Čtvrtek,7.7.,Bohuslava,Dorůstá
Pátek,8.7.,Nora,Dorůstá
Sobota,9.7.,Drahoslava,Dorůstá
Neděle,10.7.,Libuše a Amálie,Dorůstá
Pondělí,11.7.,Olga,Dorůstá
Úterý,12.7.,Bořek,Dorůstá
Středa,13.7.,Markéta,Úplněk
Čtvrtek,14.7.,Karolína,Ubývá
Pátek,15.7.,Jindřich,Ubývá
Sobota,16.7.,Luboš,Ubývá
Neděle,17.7.,Martina,Ubývá
Pondělí,18.7.,Drahomíra,Ubývá
Úterý,19.7.,Čeněk,Ubývá
Středa,20.7.,Ilja,Ubývá
Čtvrtek,21.7.,Vítězslav,Ubývá
Pátek,22.7.,Magdaléna,Ubývá
Sobota,23.7.,Libor,Ubývá
Neděle,24.7.,Kristýna,Ubývá
Pondělí,25.7.,Jakub,Ubývá
Úterý,26.7.,Anna,Ubývá
Středa,27.7.,Věroslav,Ubývá
Čtvrtek,28.7.,Viktor,NOV
Pátek,29.7.,Marta,Dorůstá
Sobota,30.7.,Bořivoj,Dorůstá
Neděle,31.7.,Ignác,Dorůstá
Pondělí,1.8.,Oskar,Dorůstá
Úterý,2.8.,Gustav,Dorůstá
Středa,3.8.,Miluše,Dorůstá
Čtvrtek,4.8.,Dominik,Dorůstá
Pátek,5.8.,Kristián,Dorůstá
Sobota,6.8.,Oldřiška,Dorůstá
Neděle,7.8.,Lada,Dorůstá
Pondělí,8.8.,Soběslav,Dorůstá
Úterý,9.8.,Roman,Dorůstá
Středa,10.8.,Vavřinec,Dorůstá
Čtvrtek,11.8.,Zuzana,Dorůstá
Pátek,12.8.,Klára,Úplněk
Sobota,13.8.,Alena,Ubývá
Neděle,14.8.,Alan,Ubývá
Pondělí,15.8.,Hana,Ubývá
Úterý,16.8.,Jáchym,Ubývá
Středa,17.8.,Petra,Ubývá
Čtvrtek,18.8.,Helena,Ubývá
Pátek,19.8.,Ludvík,Ubývá
Sobota,20.8.,Bernard,Ubývá
Neděle,21.8.,Johana,Ubývá
Pondělí,22.8.,Bohuslav,Ubývá
Úterý,23.8.,Sandra,Ubývá
Středa,24.8.,Bartoloměj,Ubývá
Čtvrtek,25.8.,Radim,Ubývá
Pátek,26.8.,Luděk,Ubývá
Sobota,27.8.,Otakar,NOV
Neděle,28.8.,Augustýn,Dorůstá
Pondělí,29.8.,Evelína,Dorůstá
Úterý,30.8.,Vladěna,Dorůstá
Středa,31.8.,Pavlína,Dorůstá
Čtvrtek,1.9.,Linda a Samuel,Dorůstá
Pátek,2.9.,Adéla,Dorůstá
Sobota,3.9.,Bronislav,Dorůstá
Neděle,4.9.,Jindřiška,Dorůstá
Pondělí,5.9.,Boris,Dorůstá
Úterý,6.9.,Boleslav,Dorůstá
Středa,7.9.,Regína,Dorůstá
Čtvrtek,8.9.,Mariana,Dorůstá
Pátek,9.9.,Daniela,Dorůstá
Sobota,10.9.,Irma,Úplněk
Neděle,11.9.,Denisa,Ubývá
Pondělí,12.9.,Marie,Ubývá
Úterý,13.9.,Lubor,Ubývá
Středa,14.9.,Radka,Ubývá
Čtvrtek,15.9.,Jolana,Ubývá
Pátek,16.9.,Ludmila,Ubývá
Sobota,17.9.,Naděžda,Ubývá
Neděle,18.9.,Kryštof,Ubývá
Pondělí,19.9.,Zita,Ubývá
Úterý,20.9.,Oleg,Ubývá
Středa,21.9.,Matouš,Ubývá
Čtvrtek,22.9.,Darina,Ubývá
Pátek,23.9.,Berta,Ubývá
Sobota,24.9.,Jaromír,Ubývá
Neděle,25.9.,Zlata,NOV
Pondělí,26.9.,Andrea,Dorůstá
Úterý,27.9.,Jonáš,Dorůstá
Středa,28.9.,Václav,Dorůstá
Středa,28.9.,Den české státnosti,Dorůstá
Čtvrtek,29.9.,Michal,Dorůstá
Pátek,30.9.,Jeroným,Dorůstá
Sobota,1.10.,Igor,Dorůstá
Neděle,2.10.,Olívie,Dorůstá
